,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2020-12-14,122.6,123.35,121.54,121.78,121.78,79075988,0.0,1.0
2020-12-15,124.34,127.9,124.13,127.88,127.88,157572262,0.0,1.0
2020-12-16,127.41,128.37,126.56,127.81,127.81,98208591,0.0,1.0
2020-12-17,128.9,129.58,128.045,128.7,128.7,94359811,0.0,1.0
2020-12-18,128.96,129.1,126.12,126.655,126.655,192541496,0.0,1.0
2020-12-21,125.02,128.31,123.449,128.23,128.23,121251553,0.0,1.0
2020-12-22,131.61,134.405,129.65,131.88,131.88,169351825,0.0,1.0
2020-12-23,132.16,132.43,130.78,130.96,130.96,88223692,0.0,1.0
2020-12-24,131.32,133.46,131.1,131.97,131.97,54930064,0.0,1.0
2020-12-28,133.99,137.34,133.51,136.69,136.69,123124632,0.0,1.0
2020-12-29,138.05,138.789,134.3409,134.87,134.87,121047324,0.0,1.0
2020-12-30,135.58,135.99,133.4,133.72,133.72,96452124,0.0,1.0
2020-12-31,134.08,134.74,131.72,132.69,132.69,99116586,0.0,1.0
2021-01-04,133.52,133.6116,126.76,129.41,129.41,143301887,0.0,1.0
2021-01-05,128.89,131.74,128.43,131.01,131.01,97664898,0.0,1.0
2021-01-06,127.72,131.0499,126.382,126.6,126.6,155087970,0.0,1.0
2021-01-07,128.36,131.63,127.86,130.92,130.92,109578157,0.0,1.0
2021-01-08,132.43,132.63,130.23,132.05,132.05,105158245,0.0,1.0
2021-01-11,129.19,130.17,128.5,128.98,128.98,100620880,0.0,1.0
2021-01-12,128.5,129.69,126.86,128.8,128.8,90440255,0.0,1.0
2021-01-13,128.76,131.45,128.49,130.89,130.89,88636831,0.0,1.0
2021-01-14,130.8,131.0,128.76,128.91,128.91,90221755,0.0,1.0
2021-01-15,128.78,130.2242,127.0,127.14,127.14,111598531,0.0,1.0
2021-01-19,127.78,128.71,126.938,127.83,127.83,90757329,0.0,1.0
2021-01-20,128.66,132.49,128.55,132.03,132.03,104319489,0.0,1.0
2021-01-21,133.8,139.67,133.59,136.87,136.87,120529544,0.0,1.0
2021-01-22,136.28,139.85,135.02,139.07,139.07,114459360,0.0,1.0
2021-01-25,143.07,145.09,136.54,142.92,142.92,157611713,0.0,1.0
2021-01-26,143.6,144.3,141.37,143.16,143.16,98390555,0.0,1.0
2021-01-27,143.43,144.3,140.41,142.06,142.06,140843759,0.0,1.0
2021-01-28,139.52,141.99,136.7,137.09,137.09,142621128,0.0,1.0
2021-01-29,135.83,136.74,130.21,131.96,131.96,177523812,0.0,1.0
2021-02-01,133.75,135.38,130.93,134.14,134.14,105424452,0.0,1.0
